date,days_ago,wpm,acc,rawWpm,consistency
2023-08-12,790,61.32,98.31,61.32,49.97
2023-08-13,789,67.01,94.64,73.58,36.1
2023-08-14,788,67.7,98.18,67.7,60.43
2023-08-15,787,78.91,100.0,78.91,53.77
2023-08-16,786,83.33,94.92,83.33,57.43
2023-08-17,785,57.49,94.12,63.73,51.66
2023-08-18,784,86.01,100.0,86.01,69.83
2023-08-19,783,73.36,98.21,73.36,64.66
2023-08-20,782,78.31,94.23,84.98,60.8
2023-08-21,781,79.19,100.0,79.19,69.83
2023-08-22,780,48.48,94.23,48.48,36.27
2023-08-23,779,65.43,96.3,76.8,64.87
2023-08-24,778,72.92,98.08,72.92,60.24
2023-08-25,777,68.67,96.36,68.67,62.53
2023-08-26,776,56.95,96.36,56.95,55.11
2023-08-27,775,71.11,98.0,77.3,73.87
2023-08-28,774,62.2,96.92,62.2,63.42
2023-08-29,773,61.61,97.96,61.61,69.12
2023-08-30,772,67.47,98.04,67.47,66.33
2023-08-31,771,59.37,94.92,68.87,57.76
2023-09-01,770,56.57,94.64,56.57,49.6
2023-09-02,769,53.9,98.0,58.59,56.68
2023-09-03,768,71.51,96.55,71.51,60.85
2023-09-04,767,51.1,91.23,51.1,55.6
2023-09-05,766,68.94,94.0,68.94,65.95
2023-09-06,765,60.4,92.06,68.38,68.02
2023-09-07,764,62.39,100.0,62.39,63.36
2023-09-08,763,58.22,94.44,58.22,62.19
2023-09-09,762,60.0,93.88,70.0,50.28
2023-09-10,761,56.65,92.31,56.65,51.34
2023-09-11,760,91.41,100.0,91.41,72.05
2023-09-12,759,68.64,92.59,75.95,54.24
2023-09-13,758,77.94,94.92,88.64,70.26
2023-09-14,757,48.1,95.16,48.1,43.1
2023-09-15,756,74.76,98.33,74.76,64.26
2023-09-16,755,82.45,100.0,82.45,65.6
2023-09-17,754,75.86,100.0,75.86,58.29
2023-09-18,753,80.41,100.0,80.41,76.6
2023-09-19,752,58.15,96.15,58.15,60.61
2023-09-20,751,60.12,98.11,60.12,53.39
2023-09-21,750,79.37,98.31,79.37,89.11
2023-09-22,749,46.47,93.55,46.47,42.64
2023-09-23,748,63.21,89.13,80.76,70.04
2023-09-24,747,53.66,90.38,53.66,45.49
2023-09-25,746,70.37,95.24,70.37,57.21
2023-09-26,745,81.95,96.23,81.95,58.05
2023-09-27,744,72.68,96.72,72.68,53.47
2023-09-28,743,67.52,98.31,67.52,66.25
2023-09-29,742,65.88,98.18,65.88,61.15
2023-09-30,741,78.17,100.0,78.17,71.31
2023-10-01,740,63.56,93.55,63.56,57.01
2023-10-02,739,61.49,96.83,71.73,62.97
2023-10-03,738,83.48,98.11,83.48,52.38
2023-10-04,737,72.25,100.0,72.25,49.54
2023-10-05,736,69.82,96.3,69.82,75.48
2023-10-06,735,84.88,98.21,84.88,65.21
2023-10-07,734,72.72,100.0,72.72,71.72
2023-10-08,733,81.47,100.0,81.47,69.92
2023-10-09,732,77.66,95.92,77.66,64.02
2023-10-10,731,76.2,95.31,76.2,60.85
2023-10-11,730,65.96,94.34,65.96,43.0
2023-10-12,729,77.07,98.21,77.07,81.2
2023-10-13,728,76.82,94.34,83.09,81.8
2023-10-14,727,73.72,100.0,73.72,76.47
2023-10-15,726,54.05,86.89,61.33,54.36
2023-10-16,725,87.05,100.0,87.05,72.51
2023-10-17,724,69.59,96.23,69.59,63.77
2023-10-18,723,74.32,100.0,74.32,61.08
2023-10-19,722,62.22,90.0,62.22,49.83
2023-10-20,721,81.45,98.25,87.6,80.53
2023-10-21,720,81.54,100.0,81.54,72.08
2023-10-22,719,108.97,100.0,108.97,85.25
2023-10-23,718,74.59,100.0,74.59,55.44
2023-10-24,717,74.43,95.08,74.43,65.27
2023-10-25,716,78.41,96.49,78.41,64.31
2023-10-26,715,69.55,100.0,69.55,63.04
2023-10-27,714,60.53,98.18,60.53,50.81
2023-10-28,713,57.17,93.22,57.17,47.98
2023-10-29,712,71.14,98.15,71.14,71.36
2023-10-30,711,85.75,100.0,85.75,79.76
2023-10-31,710,79.21,100.0,79.21,70.61
2023-11-01,709,81.87,100.0,81.87,73.16
